house_id,city,sale_price,sale_date,months_listed,bedrooms,house_type,area
1634561,Teasdale,401869,2021-12-14,7,6,Detached,519.7
1009770,Silvertown,372387,2022-09-11,8.1,6,Detached,507.8
1946667,Silvertown,325473,2020-08-19,5.4,5,Detached,466.8
1798290,Silvertown,349469,2022-12-10,6.4,5,Detached,499.4
1533461,Poppleton,199995,2020-04-07,4.3,4,Detached,335
1232200,Teasdale,67372,2021-05-09,5.9,2,Semi-detached,116.5
1182761,Poppleton,193803,2022-10-30,9.5,4,Detached,321.8
1346363,Poppleton,321844,2020-12-06,6.3,6,Detached,582.9
1459745,Riverford,268723,2022-09-07,5.8,6,Detached,553
1610313,Poppleton,113063,2021-07-19,2.2,3,Semi-detached,239.4
1317126,Teasdale,41478,2022-07-08,7.2,2,Terraced,111.7
1087100,Poppleton,155106,2021-06-25,2.9,3,Detached,265.5
1488925,Riverford,208507,2022-05-30,9.7,4,Detached,393.5
1714846,Silvertown,413526,2021-08-19,3.1,6,Detached,569
1042643,Teasdale,415605,2020-09-17,1,6,Detached,581.6
1377739,Silvertown,194645,2022-01-05,2,3,Detached,274.8
1904652,Riverford,23181,2022-09-07,4.9,2,Terraced,101.3
1165244,Riverford,320225,2020-11-22,2.5,6,Detached,590.5
1579548,Silvertown,106116,2022-05-23,4,3,Semi-detached,202.9
1488968,Silvertown,234688,2022-10-13,3.3,4,Detached,332.7
1935780,Silvertown,428866,2021-03-28,6.5,6,Detached,573.6
1086216,Teasdale,257398,2021-01-15,8.2,4,Detached,338.9
1373797,Riverford,109814,2022-10-07,5,3,Detached,211.4
1740539,Riverford,159533,2022-05-06,4,4,Detached,339.1
1308603,Poppleton,121614,2021-12-11,5.1,3,Detached,219.4
1630422,Silvertown,106098,2020-12-20,5.6,2,Semi-detached,196.5
1124700,Teasdale,433904,2022-06-22,8.1,6,Detached,599.6
1152528,Teasdale,130151,2021-06-03,4.8,3,Semi-detached,221.1
1945232,Silvertown,368984,2021-06-29,2.9,5,Detached,498.6
1979722,Riverford,285023,2021-03-24,2.9,6,Detached,562.6
1409959,Riverford,55809,2022-04-16,5.3,2,Semi-detached,148.1
1440885,Silvertown,310956,2022-05-06,9,5,Detached,433.5
1304938,Poppleton,276337,2021-11-10,8.6,5,Detached,449.8
1336638,Silvertown,242598,2020-03-12,7.6,4,Detached,341
1453413,Poppleton,341008,2022-03-07,5.9,6,Detached,591.5
1319131,Teasdale,95441,2021-06-27,5.7,2,Semi-detached,163.8
1272712,Teasdale,137139,2021-01-04,8,3,Semi-detached,213.3
1778882,Poppleton,247739,2022-10-04,7.4,4,Detached,394.2
1975821,Riverford,272388,2022-06-08,5.1,5,Detached,495.3
1934969,Riverford,130108,2022-05-01,5.1,3,Detached,284.9
1795070,Silvertown,399652,2021-05-22,5,6,Detached,567.1
1447152,Teasdale,248686,2021-12-10,5.8,4,Detached,311.4
1560330,Teasdale,353630,2020-05-17,9.7,5,Detached,419.6
1389691,Poppleton,76029,2020-10-16,5.3,2,Semi-detached,183.2
1256691,Teasdale,438922,2022-09-26,4.9,6,Detached,528.7
1783636,Poppleton,35110,2020-10-01,8.3,2,Terraced,116
1605074,Silvertown,275995,2021-06-09,6.9,5,Detached,421.4
1579733,Teasdale,361171,2020-08-31,11,5,Detached,425.8
1524267,Poppleton,232195,2021-11-07,5,4,Detached,383.8
1477266,Silvertown,192310,2021-08-19,6,3,Detached,276
1189627,Silvertown,71094,2020-01-31,7.9,2,Semi-detached,137.1
1004887,Poppleton,80156,2021-04-17,6.2,2,Semi-detached,177.2
1130084,Teasdale,409702,2020-01-19,5,6,Detached,525
1185353,Silvertown,215429,2021-11-25,6.4,4,Detached,305.7
1654137,Poppleton,71495,2022-10-10,5.8,2,Semi-detached,153.6
1496270,Poppleton,85356,2020-06-07,7.5,2,Semi-detached,198.4
1123020,Silvertown,277756,2022-01-27,3.1,5,Detached,422.2
1558840,Teasdale,363268,2021-05-09,5.1,5,Detached,474.6
1040876,Teasdale,439609,2021-12-05,7.6,6,Detached,516.5
1657318,Poppleton,196704,2021-10-04,5.2,4,Detached,324.1
1891576,Silvertown,78823,2021-05-04,3.8,2,Semi-detached,154.6
1739640,Poppleton,213012,2020-11-09,7.4,4,Detached,379
1762306,Poppleton,235404,2022-05-08,6.4,5,Detached,401.2
1758173,Teasdale,297353,2020-11-27,5.8,4,Detached,338.9
1159237,Poppleton,243197,2020-03-01,6.6,5,Detached,404.9
1359874,Teasdale,89950,2022-11-29,3.9,3,Terraced,227.9
1537517,Poppleton,184165,2021-10-28,7,4,Detached,316.5
1744595,Poppleton,323027,2022-11-27,6.9,6,Detached,553.4
1573501,Silvertown,241792,2022-01-20,5.9,4,Detached,339.3
1029718,Teasdale,374110,2021-05-01,2.9,5,Detached,460.3
1971259,Riverford,322694,2020-02-17,9.4,6,Detached,598.8
1615821,Poppleton,336808,2021-08-06,7.7,6,Detached,575.2
1609069,Teasdale,49987,2022-05-08,4.9,2,Terraced,119.2
1377136,Silvertown,347003,2020-11-01,5.6,6,Detached,552.1
1526388,Poppleton,174474,2022-02-08,6.2,3,Detached,299
1111557,Silvertown,323803,2022-05-24,2.8,5,Detached,457.2
1417179,Teasdale,200146,2021-04-02,4.8,3,Detached,255.4
1223299,Riverford,294691,2021-05-02,3.5,6,Detached,560.6
1737203,Poppleton,172036,2022-10-20,7.2,4,Detached,307.9
1109555,Silvertown,339025,2021-10-13,5.4,6,Detached,523.3
1636533,Silvertown,243117,2022-11-25,7,4,Detached,338.6
1027198,Silvertown,194077,2022-03-17,5.3,3,Detached,291.1
1922450,Silvertown,195974,2022-05-27,3.9,3,Detached,281.1
1617331,Teasdale,516624,2022-06-30,5,6,Detached,596.9
1563665,Silvertown,184784,2022-02-26,4.8,3,Detached,277.1
1384545,Teasdale,217063,2020-03-24,6.9,3,Detached,271
1322880,Riverford,199827,2022-05-28,3.6,5,Detached,408.8
1365197,Poppleton,276932,2022-04-27,7.5,5,Detached,463.9
1349378,Silvertown,374141,2022-06-01,6.5,6,Detached,506.3
1079769,Silvertown,181196,2021-07-26,2.8,3,Detached,260.4
1740291,Silvertown,298140,2021-11-12,0.8,5,Detached,427.3
1131472,Silvertown,240606,2022-02-23,6.4,4,Detached,364.3
1191856,Riverford,271071,2020-08-16,2.7,6,Detached,567.9
1611575,Silvertown,64098,2020-03-21,3.3,2,Semi-detached,128.8
1370172,Teasdale,176089,2021-01-30,6,3,Detached,216.9
1211396,Silvertown,260869,2022-10-07,2.4,4,Detached,357.1
1809993,Silvertown,38792,2020-02-02,3.7,2,Terraced,107.8
1181612,Silvertown,357576,2022-07-25,4.3,6,Detached,510.6
1963360,Teasdale,72500,2021-09-21,4.4,2,Semi-detached,128.3
1677369,Poppleton,260135,2022-01-08,5.9,5,Detached,440.6
1100786,Teasdale,254782,2020-06-05,5.7,4,Detached,339.1
1257219,Teasdale,288870,2020-09-25,5.5,4,Detached,354.2
1446965,Silvertown,252522,2022-09-11,7.6,4,Detached,366.5
1187562,Teasdale,106866,2020-03-02,6.3,2,Semi-detached,195.4
1203137,Teasdale,91641,2021-05-18,5.2,2,Semi-detached,145.7
1870954,Silvertown,118415,2022-03-08,9.3,3,Semi-detached,219.9
1698510,Silvertown,295302,2020-11-12,6.7,5,Detached,439.3
1881469,Silvertown,290033,2022-02-03,2.5,5,Detached,403.1
1100411,Riverford,40111,2021-05-14,8,2,Semi-detached,111.6
1293287,Silvertown,385211,2022-06-24,5.7,6,Detached,543
1545556,Silvertown,144525,2022-08-29,2.1,3,Detached,218.4
1681404,Silvertown,421460,2020-09-20,1.9,6,Detached,583.9
1956067,Silvertown,172738,2022-06-16,5.3,3,Detached,246.3
1067038,Teasdale,249200,2022-07-02,8.1,3,Detached,293.5
1090523,Silvertown,68141,2021-02-16,6.2,3,Terraced,205
1861353,Silvertown,250316,2021-03-29,7.6,4,Detached,370.5
1948827,Silvertown,62985,2021-08-18,4.7,2,Semi-detached,113.2
1588970,Silvertown,57387,2022-03-02,6.3,2,Semi-detached,112.4
1680984,Riverford,30971,2022-07-30,6.7,2,Terraced,131.5
1590458,Riverford,252866,2021-06-27,4.5,6,Detached,551.1
1512645,Silvertown,202339,2021-06-01,3.3,3,Detached,299.9
1140940,Poppleton,270969,2020-01-03,3.7,5,Detached,458.1
1990339,Riverford,262245,2020-01-04,4.1,6,Detached,525.2
1124910,Riverford,66592,2021-05-01,7.7,2,Semi-detached,178.7
1977248,Poppleton,163449,2022-02-25,0.3,3,Detached,282.6
1631091,Silvertown,77797,2021-12-01,7,3,Terraced,224.3
1161719,Silvertown,301887,2022-06-22,8.4,5,Detached,413
1458216,Poppleton,343969,2020-01-13,7.8,6,Detached,546.3
1044065,Poppleton,152865,2020-01-14,4,3,Detached,267.8
1413343,Silvertown,106757,2021-12-02,5.5,3,Semi-detached,214.8
1874541,Teasdale,333107,2022-02-03,7.1,5,Detached,419.8
1914040,Riverford,159526,2021-11-27,6.7,4,Detached,337
1438546,Silvertown,165342,2022-09-24,5.9,3,Detached,234.8
1789341,Teasdale,88846,2020-10-21,7.6,3,Terraced,226.8
1029998,Poppleton,288417,2022-04-22,0.8,5,Detached,458.8
1122648,Silvertown,74877,2020-05-05,5.6,2,Semi-detached,143.7
1267908,Poppleton,333414,2021-11-25,5.6,6,Detached,569.5
1034144,Teasdale,322849,2022-04-20,4.4,5,Detached,444.3
1939333,Riverford,155511,2021-04-26,4.7,3,Detached,298.8
1554142,Silvertown,269308,2020-05-25,4.6,4,Detached,367.8
1154520,Riverford,238229,2022-11-02,7.9,5,Detached,460
1638398,Poppleton,212306,2021-07-04,6.9,4,Detached,385
1724642,Silvertown,372613,2021-10-19,4.9,6,Detached,553.9
1328104,Poppleton,269271,2020-07-22,4.9,5,Detached,483.7
1896724,Silvertown,105120,2022-04-29,5.8,3,Semi-detached,208.2
1558067,Poppleton,373386,2022-05-03,5.2,6,Detached,555.6
1388243,Silvertown,278373,2022-03-11,8,4,Detached,389.7
1722754,Poppleton,289269,2022-02-02,6.7,5,Detached,482.7
1509635,Silvertown,358204,2020-08-26,3.8,5,Detached,479.9
1995485,Riverford,139794,2021-05-27,5,3,Detached,268.7
1626519,Silvertown,279673,2021-08-25,3.5,5,Detached,421.5
1451499,Silvertown,326130,2021-02-18,5.4,5,Detached,453.6
1941154,Riverford,245419,2021-03-12,6.8,5,Detached,498
1076986,Silvertown,60712,2021-04-18,10.6,2,Semi-detached,108.2
1218668,Poppleton,192083,2022-04-14,4.8,4,Detached,303.4
1106142,Silvertown,218191,2020-10-26,6.4,4,Detached,309.2
1283101,Teasdale,221572,2020-10-07,6.2,3,Detached,282.4
1202040,Silvertown,391619,2021-10-26,5.4,6,Detached,596.5
1368369,Teasdale,350169,2022-07-16,8.3,5,Detached,436.1
1166737,Riverford,162652,2021-09-02,2.8,4,Detached,348.6
1199613,Silvertown,54421,2022-07-07,5.3,2,Semi-detached,115.1
1520767,Silvertown,238958,2021-12-07,5.9,4,Detached,332.2
1187630,Poppleton,226332,2020-07-13,5.6,4,Detached,370.4
1624607,Silvertown,121148,2020-11-11,5.8,3,Semi-detached,229.1
1175936,Silvertown,280173,2020-12-02,3.9,4,Detached,382.4
1719078,Silvertown,99717,2022-01-04,6,2,Semi-detached,173.4
1320867,Riverford,157480,2022-12-25,8,4,Detached,300.8
1205924,Poppleton,286116,2022-03-19,3.2,5,Detached,431.5
1608724,Teasdale,284254,2020-02-11,2.9,4,Detached,381.4
1360009,Teasdale,72337,2022-11-27,6.8,2,Semi-detached,129.9
1044267,Riverford,56430,2022-07-26,5.1,2,Semi-detached,154.5
1892591,Silvertown,262759,2022-03-16,4.6,5,Detached,408.9
1318950,Poppleton,326165,2020-07-02,2.9,6,Detached,525.4
1551761,Teasdale,75565,2020-05-10,6,2,Semi-detached,140.6
1740379,Silvertown,64239,2021-03-10,4.5,2,Semi-detached,106.9
1251442,Teasdale,433236,2020-03-14,6.6,6,Detached,581.4
1271709,Silvertown,352954,2021-10-17,5.4,5,Detached,456.1
1608199,Riverford,178179,2020-12-09,8.8,4,Detached,331.3
1662264,Silvertown,236510,2020-06-07,7.2,4,Detached,337.8
1593366,Silvertown,98538,2022-03-15,7.8,2,Semi-detached,192.3
1670174,Silvertown,290958,2021-02-16,5.2,5,Detached,445.2
1177400,Silvertown,337862,2022-07-11,6.4,6,Detached,501.9
1718286,Poppleton,209139,2021-06-10,6.3,4,Detached,334.7
1056929,Silvertown,65113,2021-04-13,7.4,3,Terraced,203.7
1261487,Silvertown,73438,2021-11-04,7,3,Terraced,216.4
1918887,Riverford,89352,2022-05-04,3.3,3,Semi-detached,225.1
1839301,Riverford,188271,2022-11-09,5.1,4,Detached,368.8
1378944,Teasdale,274615,2022-12-11,6.7,4,Detached,324.4
1361678,Silvertown,120910,2022-02-12,5.1,3,Semi-detached,230
1057994,Silvertown,417167,2022-05-12,6.6,6,Detached,583.4
1415253,Teasdale,85250,2020-09-30,2.8,2,Semi-detached,133.5
1749362,Riverford,191281,2020-06-13,7.1,4,Detached,375
1531813,Poppleton,386972,2020-12-28,5.1,6,Detached,579.7
1174334,Teasdale,359501,2020-11-07,8.3,5,Detached,462.9
1768142,Teasdale,400139,2022-08-19,7.2,5,Detached,484
1304474,Poppleton,252358,2020-06-06,4,5,Detached,422.4
1401518,Silvertown,185069,2020-10-09,6.6,3,Detached,282.2
1602387,Silvertown,149137,2022-12-27,3.3,3,Detached,208.8
1692601,Silvertown,381504,2020-08-01,3.9,6,Detached,521.5
1379147,Poppleton,86428,2021-05-16,6.4,2,Semi-detached,188.6
1286114,Poppleton,248906,2021-09-16,7.2,5,Detached,418.2
1759763,Poppleton,258477,2022-11-19,6.7,5,Detached,441.7
1498928,Poppleton,134977,2021-05-20,6.5,3,Detached,234.5
1052026,Poppleton,171227,2022-04-21,8.4,3,Detached,272
1929701,Teasdale,246540,2020-10-15,2.6,3,Detached,297.6
1411764,Poppleton,45163,2022-06-29,8.8,2,Terraced,159.3
1518986,Poppleton,149367,2020-10-21,7.1,3,Detached,254.8
1769885,Silvertown,209648,2022-02-28,5.9,3,Detached,282.5
1765487,Silvertown,347563,2020-09-15,6.9,5,Detached,483.9
1410151,Teasdale,240666,2022-08-03,4.9,4,Detached,320.6
1134263,Silvertown,320249,2021-10-03,2.8,5,Detached,494
1839953,Teasdale,82874,2022-05-12,4.7,2,Semi-detached,148.7
1957935,Poppleton,150119,2020-01-25,6.5,3,Detached,251
1401395,Teasdale,271090,2020-10-12,1.5,4,Detached,374.3
1649718,Teasdale,354130,2022-05-01,6.5,5,Detached,442.8
1165972,Poppleton,223128,2021-01-05,2.7,4,Detached,348.4
1378518,Teasdale,300266,2020-06-27,6.3,4,Detached,360.3
1257987,Poppleton,314589,2021-04-18,4.2,6,Detached,540.2
1062862,Teasdale,350690,2020-12-07,3.2,5,Detached,448.1
1796287,Poppleton,230724,2022-04-22,6,5,Detached,418.5
1422316,Poppleton,199246,2021-12-25,2,3,Detached,292.1
1171902,Poppleton,330478,2020-07-30,7.8,6,Detached,568.9
1150214,Silvertown,307053,2021-01-04,6.1,5,Detached,448
1787139,Riverford,47587,2021-10-09,2.8,2,Terraced,196.1
1954307,Silvertown,123146,2020-02-12,5.1,3,Semi-detached,232.3
1872657,Riverford,124207,2022-07-08,5.3,3,Detached,241
1992565,Poppleton,254878,2021-03-11,12,5,Detached,411
1635959,Silvertown,385926,2021-12-05,6.5,6,Detached,545.2
1564606,Poppleton,342624,2022-01-20,3.2,6,Detached,599.1
1179507,Riverford,207609,2021-04-04,3.6,5,Detached,414.1
1019221,Silvertown,290826,2022-11-11,8.4,5,Detached,423.7
1758219,Poppleton,273715,2020-11-02,6.4,6,Detached,536.1
1001874,Silvertown,95006,2021-05-14,6.9,2,Semi-detached,183.7
1763492,Poppleton,244894,2022-12-24,5.9,5,Detached,404.7
1901931,Teasdale,456244,2021-07-24,3.5,6,Detached,595.2
1062220,Teasdale,127599,2022-01-18,4.6,3,Semi-detached,227
1575836,Teasdale,76801,2020-02-23,8.2,2,Semi-detached,137.4
1075409,Poppleton,267993,2020-01-28,8,5,Detached,472.9
1290752,Silvertown,395464,2020-01-13,6.5,6,Detached,564.8
1044630,Silvertown,419007,2021-11-30,6.2,6,Detached,599.6
1104937,Riverford,38536,2020-01-01,4.5,2,Semi-detached,103.3
1807648,Riverford,70369,2020-01-24,7.1,3,Semi-detached,201.2
1794466,Poppleton,145465,2020-09-09,4.8,3,Detached,248.3
1866939,Teasdale,288621,2021-11-21,3.7,4,Detached,347.8
1763383,Silvertown,231361,2020-07-31,7.5,4,Detached,334.1
1607347,Poppleton,262075,2021-08-19,4.2,5,Detached,412.8
1612898,Poppleton,328063,2022-04-16,6.9,6,Detached,537
1171951,Poppleton,175379,2021-08-09,6.5,3,Detached,299.4
1733876,Poppleton,142099,2022-06-17,10.5,3,Detached,228.5
1926275,Teasdale,86677,2021-02-12,6.7,2,Semi-detached,145.9
1593282,Teasdale,115288,2020-02-13,7,2,Semi-detached,193.4
1952765,Teasdale,355651,2021-07-29,5.6,5,Detached,461
1717808,Riverford,255251,2020-04-14,4.8,6,Detached,530.1
1658322,Silvertown,117774,2022-09-28,4.5,3,Semi-detached,227.5
1840298,Poppleton,29817,2020-02-01,6,2,Terraced,101.2
1966577,Silvertown,397700,2020-12-16,9,6,Detached,550.3
1625659,Teasdale,235516,2022-12-16,6.2,4,Detached,324.9
1505694,Silvertown,325388,2022-10-30,0.6,5,Detached,478.4
1196218,Poppleton,140548,2020-09-13,6.7,3,Detached,226.1
1964046,Poppleton,190093,2021-12-11,8.8,4,Detached,306.7
1457312,Silvertown,293965,2020-06-04,5,5,Detached,429.8
1732637,Teasdale,473336,2020-09-06,8.1,6,Detached,598.3
1942805,Silvertown,55226,2021-09-05,8.2,2,Terraced,160.5
1347606,Silvertown,63301,2020-02-28,5.6,2,Terraced,177.6
1184164,Teasdale,222017,2021-12-09,6.7,3,Detached,269.5
1547407,Teasdale,215139,2021-10-13,6.9,3,Detached,260.9
1096873,Teasdale,466321,2020-02-10,6.4,6,Detached,532.4
1920641,Silvertown,289694,2020-12-25,4,4,Detached,395.5
1229072,Teasdale,122082,2020-07-16,7.7,3,Semi-detached,208.5
1545263,Poppleton,240427,2022-07-12,6.7,4,Detached,386.5
1534443,Teasdale,344946,2020-10-07,6.5,5,Detached,422.8
1688002,Silvertown,308318,2020-03-27,5.7,5,Detached,471.9
1210618,Poppleton,223820,2020-04-26,9.7,5,Detached,404
1120136,Silvertown,230418,2020-02-09,5.4,4,Detached,325.5
1240223,Silvertown,192125,2022-09-11,6.6,3,Detached,290
1827485,Silvertown,349505,2020-01-19,5.8,5,Detached,447.2
1115856,Silvertown,249976,2022-08-16,1.5,4,Detached,371.6
1013452,Silvertown,367214,2021-06-29,7.9,6,Detached,501.1
1648832,Poppleton,168406,2020-11-02,5.9,3,Detached,294.4
1637202,Poppleton,342195,2022-06-09,6.8,6,Detached,574.2
1522464,Teasdale,234123,2022-10-11,10.4,3,Detached,283.2
1025361,Poppleton,193452,2020-05-22,7.4,4,Detached,302.6
1423616,Silvertown,232910,2021-02-25,3.3,4,Detached,339.1
1820401,Silvertown,119269,2021-06-20,6,3,Semi-detached,221.6
1142969,Silvertown,75825,2020-07-12,2.9,3,Terraced,205.4
1252336,Silvertown,401536,2021-08-31,8.1,6,Detached,520.9
1689823,Riverford,175863,2020-02-19,7.9,4,Detached,333.4
1828245,Silvertown,174723,2022-07-05,7,3,Detached,251.7
1892592,Silvertown,212785,2022-04-13,2,4,Detached,310.3
1778521,Teasdale,349431,2022-05-28,5.5,5,Detached,449.1
1077661,Silvertown,62275,2022-03-20,6.7,2,Semi-detached,122
1284556,Poppleton,52946,2022-08-05,5,2,Terraced,187.1
1773796,Poppleton,164657,2022-08-18,4.5,3,Detached,275.3
1884248,Silvertown,92232,2022-04-30,3.1,2,Semi-detached,181.4
1137674,Riverford,57249,2022-02-12,6.4,2,Semi-detached,152.7
1127541,Silvertown,246582,2021-03-27,5.7,4,Detached,351.7
1353954,Silvertown,58473,2022-08-15,6,2,Terraced,169.2
1742650,Riverford,132917,2020-05-26,6.8,3,Detached,267.9
